COTU_ID	Sample1	Sample2	NO_of_Seqs	Kingdom	Phylum	Class	Order	Family	Genus
COTU-TEST-0041	5	6	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Bacteroidaceae(1.0)	Bacteroides(1.0)
COTU-TEST-0044	99	193	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Bacteroidaceae(1.0)	Bacteroides(1.0)
COTU-TEST-0045	23	145	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Bacteroidaceae(1.0)	Bacteroides(1.0)
COTU-TEST-0046	196	446	1	Bacteria(1.0)	Bacteroidetes(1.0)	Bacteroidia(1.0)	Bacteroidales(1.0)	Prevotellaceae(1.0)	Alloprevotella(1.0)
COTU-TEST-0047	11	40	1	Bacteria(1.0)	Firmicutes(1.0)	Bacilli(1.0)	Lactobacillales(1.0)	Lactobacillaceae(1.0)	Lactobacillus(1.0)
COTU-TEST-0048	0	8	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Ruminococcaceae(1.0)	ClostridiumIV(0.42)
COTU-TEST-0049	3	6	1	Bacteria(1.0)	Firmicutes(0.99)	Clostridia(0.99)	Clostridiales(0.99)	Ruminococcaceae(0.99)	Anaerotruncus(0.6)
COTU-TEST-0050	8	6	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Ruminococcaceae(1.0)	Acetanaerobacterium(0.37)
COTU-TEST-0051	6	5	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Ruminococcaceae(1.0)	ClostridiumIV(1.0)
COTU-TEST-0052	1	6	1	Bacteria(1.0)	Firmicutes(1.0)	Clostridia(1.0)	Clostridiales(1.0)	Ruminococcaceae(1.0)	ClostridiumIV(0.97)
